DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,cod_departamento,cod_municipio,region,FEX_C,cant_hog_completos,cant_hogares_vivienda,clase,tipo_vivienda
8371481,1,1,1,Caldas,Manizales,Central,"196,3221145",1,1,Cabecera,Apartamento
8371482,1,1,1,Caldas,Manizales,Central,"218,5693711",1,1,Cabecera,Apartamento
8371483,1,1,1,Caldas,Manizales,Central,"354,3087989",1,1,Cabecera,Apartamento
8371484,1,1,1,Caldas,Manizales,Central,"166,9207803",1,1,Cabecera,Apartamento
8371485,1,1,1,Caldas,Manizales,Central,"455,9869361",1,1,Cabecera,Casa
8371486,1,1,1,Caldas,Manizales,Central,"186,4078",1,1,Cabecera,Casa
8371487,1,1,1,Caldas,Manizales,Central,"165,2573602",1,1,Cabecera,Apartamento
8371488,1,1,1,Caldas,Manizales,Central,"350,8215043",1,1,Cabecera,Apartamento
8371489,1,1,1,Caldas,Manizales,Central,"229,3121369",1,1,Cabecera,Casa
8371490,1,1,1,Caldas,Manizales,Central,"189,4636656",1,1,Cabecera,Casa
8371491,1,1,1,Caldas,Manizales,Central,"260,6431821",1,1,Cabecera,Casa
8371492,1,1,1,Caldas,Manizales,Central,"271,621235",1,1,Cabecera,Casa
8371493,1,1,1,Caldas,Manizales,Central,"295,2445341",1,1,Cabecera,Casa
8371494,1,1,1,Caldas,Manizales,Central,"173,1657159",1,1,Cabecera,Casa
8371495,1,1,1,Caldas,Manizales,Central,"163,6834806",1,1,Cabecera,Apartamento
8371496,1,1,1,Caldas,Manizales,Central,"190,692992",1,1,Cabecera,Casa
8371497,1,1,1,Caldas,Manizales,Central,"131,1887522",1,1,Cabecera,Casa
8371499,1,1,1,Caldas,Manizales,Central,"338,0497963",1,1,Cabecera,Apartamento
8371500,1,1,1,Caldas,Manizales,Central,"190,6860118",1,1,Cabecera,Apartamento
8371503,1,1,1,Caldas,Manizales,Central,"314,1675151",1,1,Cabecera,Casa
8371504,1,1,1,Caldas,Manizales,Central,"227,6789694",1,1,Cabecera,Casa
8371505,1,1,1,Caldas,Manizales,Central,"141,1629986",1,1,Cabecera,Apartamento
8371506,1,1,1,Caldas,Manizales,Central,"193,7686854",1,1,Cabecera,Casa
8371507,1,1,1,Caldas,Manizales,Central,"220,3257629",1,1,Cabecera,Casa
8371508,1,1,1,Caldas,Manizales,Central,"316,7342451",1,1,Cabecera,Apartamento
8371509,1,1,1,Caldas,Manizales,Central,"235,3222198",1,1,Cabecera,Apartamento
8371510,1,1,1,Caldas,Manizales,Central,"251,275872",1,1,Cabecera,Apartamento
8371511,1,1,1,Caldas,Manizales,Central,"357,9562546",1,1,Cabecera,Casa
8371512,1,1,1,Caldas,Manizales,Central,"181,0170921",1,1,Cabecera,Casa
8371514,1,1,1,Caldas,Manizales,Central,"231,081475",1,1,Cabecera,Casa
8371515,1,1,1,Caldas,Manizales,Central,"164,7811995",1,1,Cabecera,Casa
8371516,1,1,1,Caldas,Manizales,Central,"155,1806853",1,1,Cabecera,Casa
8371518,1,1,1,Caldas,Manizales,Central,"311,3486699",1,1,Cabecera,Casa
8371520,1,1,1,Caldas,Manizales,Central,"97,44958141",1,1,Centro poblado / Rural disperso,Casa
8371522,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Apartamento
8371523,1,1,1,Caldas,Manizales,Central,"49,76889646",1,1,Centro poblado / Rural disperso,Apartamento
8371524,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Apartamento
8371525,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Apartamento
8371526,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Casa
8371527,1,1,1,Caldas,Manizales,Central,"45,67471087",1,1,Centro poblado / Rural disperso,Casa
8371528,1,1,1,Caldas,Manizales,Central,"75,78038935",1,1,Centro poblado / Rural disperso,Casa
8371529,1,1,1,Caldas,Manizales,Central,"111,3870243",1,1,Centro poblado / Rural disperso,Casa
8371530,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371531,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371532,1,1,1,Caldas,Manizales,Central,"41,10190239",1,1,Centro poblado / Rural disperso,Casa
8371533,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371535,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371536,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8371537,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
